Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login TestSuite,Chrome 69.0.3497.100,,2018-09-22 17:18:10,2018-09-22 17:20:22,2m - 12.136s,FAILED
,,,,,,
Test Cases/Login/Succefull Login,Chrome 69.0.3497.100,,2018-09-22 17:18:11,2018-09-22 17:19:04,53.201s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 17:18:12,2018-09-22 17:18:28,15.838s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-22 17:18:28,2018-09-22 17:18:33,5.012s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-22 17:18:33,2018-09-22 17:19:04,31.771s,FAILED
,,,,,,
Test Cases/Login/Failed Login 1 attempt,Chrome 69.0.3497.100,,2018-09-22 17:19:04,2018-09-22 17:19:42,38.024s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 17:19:05,2018-09-22 17:19:08,3.640s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-22 17:19:08,2018-09-22 17:19:11,2.408s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-22 17:19:11,2018-09-22 17:19:42,31.544s,FAILED
,,,,,,
Test Cases/Login/Failed log in 3 Attempts,Chrome 69.0.3497.100,,2018-09-22 17:19:42,2018-09-22 17:20:22,39.346s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 17:19:43,2018-09-22 17:19:48,4.816s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-22 17:19:48,2018-09-22 17:19:50,2.688s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-22 17:19:50,2018-09-22 17:20:22,31.514s,FAILED
