Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-15 13:32:45,2018-03-15 13:36:26,3m - 41.476s,ERROR
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 13:32:47,2018-03-15 13:34:02,1m - 15.682s,ERROR
openBrowser,Chrome 64.0.3282.186,,2018-03-15 13:32:48,2018-03-15 13:32:53,5.231s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:32:53,2018-03-15 13:33:01,8.319s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:01,2018-03-15 13:33:02,0.659s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:02,2018-03-15 13:33:02,0.219s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:02,2018-03-15 13:33:03,0.482s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:33:03,2018-03-15 13:33:05,2.404s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:33:05,2018-03-15 13:33:05,0.451s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:05,2018-03-15 13:33:07,1.098s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:07,2018-03-15 13:33:07,0.209s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:07,2018-03-15 13:33:07,0.348s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:07,2018-03-15 13:33:07,0.168s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:07,2018-03-15 13:33:08,0.456s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:33:08,2018-03-15 13:33:08,0.686s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:08,2018-03-15 13:33:09,0.337s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 13:33:09,2018-03-15 13:33:39,30.065s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:33:39,2018-03-15 13:33:42,2.903s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:42,2018-03-15 13:33:43,1.563s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:43,2018-03-15 13:33:44,0.817s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:44,2018-03-15 13:33:47,3.204s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:47,2018-03-15 13:33:54,6.525s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:33:54,2018-03-15 13:33:55,1.051s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:33:55,2018-03-15 13:33:57,2.329s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 13:33:57,2018-03-15 13:34:02,5.006s,PASSED
Statement - driver = Driverfactory.getWebDriver(),Chrome 64.0.3282.186,,2018-03-15 13:34:02,2018-03-15 13:34:02,0.002s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 13:34:02,2018-03-15 13:35:14,1m - 11.391s,ERROR
openBrowser,Chrome 64.0.3282.186,,2018-03-15 13:34:02,2018-03-15 13:34:07,4.531s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:34:07,2018-03-15 13:34:15,8.226s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:15,2018-03-15 13:34:16,0.568s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:16,2018-03-15 13:34:16,0.212s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:16,2018-03-15 13:34:17,1.155s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:34:17,2018-03-15 13:34:19,2.095s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:34:19,2018-03-15 13:34:19,0.350s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:34:19,2018-03-15 13:34:20,0.684s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:20,2018-03-15 13:34:21,0.562s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:21,2018-03-15 13:34:21,0.191s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:21,2018-03-15 13:34:21,0.350s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:34:21,2018-03-15 13:34:21,0.302s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:34:21,2018-03-15 13:34:22,0.508s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:34:22,2018-03-15 13:34:22,0.162s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 13:34:22,2018-03-15 13:34:52,30.003s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:34:52,2018-03-15 13:34:54,2.067s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:54,2018-03-15 13:34:55,0.633s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:34:55,2018-03-15 13:34:55,0.301s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:34:55,2018-03-15 13:34:59,4.006s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:34:59,2018-03-15 13:35:06,6.943s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:06,2018-03-15 13:35:07,1.119s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:35:07,2018-03-15 13:35:09,1.362s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 13:35:09,2018-03-15 13:35:14,5.002s,PASSED
Statement - driver = Driverfactory.getWebDriver(),Chrome 64.0.3282.186,,2018-03-15 13:35:14,2018-03-15 13:35:14,0.001s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 13:35:14,2018-03-15 13:36:25,1m - 11.174s,ERROR
openBrowser,Chrome 64.0.3282.186,,2018-03-15 13:35:14,2018-03-15 13:35:17,3.427s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:35:17,2018-03-15 13:35:25,7.575s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:25,2018-03-15 13:35:25,0.259s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:25,2018-03-15 13:35:25,0.317s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:25,2018-03-15 13:35:26,0.399s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:35:26,2018-03-15 13:35:28,2.206s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:35:28,2018-03-15 13:35:28,0.340s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:35:28,2018-03-15 13:35:29,0.622s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:29,2018-03-15 13:35:29,0.161s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:29,2018-03-15 13:35:29,0.153s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:35:29,2018-03-15 13:35:29,0.146s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:35:29,2018-03-15 13:35:29,0.116s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 13:35:29,2018-03-15 13:35:30,0.407s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:35:30,2018-03-15 13:35:30,0.145s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 13:35:30,2018-03-15 13:36:00,30.002s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 13:36:00,2018-03-15 13:36:04,4.073s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:36:04,2018-03-15 13:36:05,1.044s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:36:05,2018-03-15 13:36:05,0.227s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:36:05,2018-03-15 13:36:09,3.617s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:36:09,2018-03-15 13:36:17,8.124s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 13:36:17,2018-03-15 13:36:18,1.250s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 13:36:18,2018-03-15 13:36:20,1.456s,PASSED
